,자치구,행적구역 면적(㎢),행정구역 인구,65세이상고령자,공원면적(천㎡)_x,1인당 공원면적(천㎡),도시공원면적(천㎡),1인당 도시공원면적(천㎡),도보생활권공원면적(천㎡),1인당도보생활권공원면적(천㎡),공원 수,중복,면적대비공원수,인구대비공원수,고령자대비공원수
0,종로구,23.91,158996,27958,11404.09,74.15,6282.46,40.85,3026.45,19.68,104,5,4.349644500209117,0.0006541045057737302,0.0037198655125545463
1,중구,9.96,134635,25055,3178.19,24.12,3090.87,23.45,1359.55,10.32,76,3,7.630522088353413,0.0005644891744345824,0.0030333266813011373
2,용산구,21.87,244645,39037,1775.55,7.48,759.11,3.2,1612.66,6.8,108,3,4.938271604938271,0.00044145598724682703,0.0027666060404231882
3,성동구,16.86,300505,47720,3074.32,10.5,1231.01,4.21,2896.42,9.9,88,1,5.2194543297746145,0.0002928403853513253,0.0018440905280804694
4,광진구,17.06,360109,54071,3459.84,9.81,2993.93,8.49,1351.39,3.83,68,2,3.985932004689332,0.0001888317148418951,0.0012576057406003217
5,동대문구,14.22,357014,64468,1216.01,3.45,974.89,2.77,1047.8,2.98,92,2,6.469760900140646,0.0002576929756256057,0.0014270645901842776
6,중랑구,18.5,399562,74920,5232.98,13.35,5050.31,12.89,1902.24,4.85,109,1,5.891891891891892,0.00027279871459247876,0.0014548852108916177
7,성북구,24.58,447056,77475,8491.6,19.29,4574.58,10.39,1636.95,3.72,122,9,4.963384865744508,0.00027289646039869726,0.001574701516618264
8,강북구,23.6,311569,66307,14383.64,47.54,2370.26,7.83,2035.69,6.73,84,1,3.559322033898305,0.00026960320185897825,0.0012668345725187387
9,도봉구,20.65,327361,66998,10160.38,31.81,1250.21,3.91,1121.06,3.51,80,2,3.8740920096852305,0.0002443785301242359,0.0011940654944923728
10,노원구,35.44,527032,92040,14742.94,28.63,14407.85,27.98,1894.57,3.68,190,1,5.36117381489842,0.0003605094187829202,0.0020643198609300306
11,은평구,29.71,484043,89650,14368.19,30.11,6600.0,13.83,2214.02,4.64,136,5,4.577583305284416,0.0002809667736130881,0.001517010596765198
12,서대문구,17.63,322952,55996,5098.92,16.15,4860.43,15.4,1123.69,3.56,124,5,7.033465683494045,0.0003839579875647155,0.0022144438888492034
13,마포구,23.85,381858,55914,4570.84,12.07,3257.86,8.6,4342.8,11.47,144,0,6.037735849056603,0.00037710353063180553,0.002575383624852452
14,양천구,17.41,457781,72393,3049.63,6.77,2627.05,5.83,2205.57,4.9,123,1,7.064905226881103,0.0002686874291418823,0.001699059301313663
15,강서구,41.44,585901,97128,4518.25,7.79,3433.88,5.92,3530.85,6.09,173,0,4.174710424710425,0.0002952717267934344,0.0017811547648463883
16,구로구,20.12,432488,75890,3641.45,8.65,3319.7,7.88,1533.35,3.64,108,2,5.36779324055666,0.0002497179112484046,0.0014231123995256292
17,금천구,13.02,247835,42928,2774.39,11.33,2610.41,10.66,563.75,2.3,55,2,4.224270353302612,0.00022192184316178101,0.0012812150577711516
18,영등포구,24.55,407367,64810,3009.09,7.51,664.47,1.66,2957.23,7.38,108,0,4.3991853360488795,0.0002651172038972229,0.0016664095047060638
19,동작구,16.35,401572,68231,4327.31,10.97,4091.1,10.37,2316.59,5.87,86,1,5.2599388379204886,0.00021415835765441814,0.0012604241473816887
20,관악구,29.57,509803,82447,12484.99,25.0,12424.35,24.88,1967.41,3.94,134,3,4.5316198850186,0.0002628466289919832,0.0016252865477215665
21,서초구,46.98,429025,62347,15072.03,36.22,14267.75,34.28,2215.29,5.32,179,1,3.8101319710515114,0.0004172251034322009,0.002871028277222641
22,강남구,39.5,544055,81715,7791.35,14.49,6501.69,12.09,3652.72,6.79,164,1,4.151898734177215,0.0003014401117534073,0.002006975463501193
23,송파구,33.87,673926,103573,4771.42,7.19,2097.14,3.16,4362.73,6.57,174,1,5.137289636846767,0.0002581885845033431,0.0016799745107315613
24,강동구,24.59,463998,78340,3407.66,7.31,2865.43,6.14,2127.21,4.56,129,1,5.24603497356649,0.000278018439734654,0.0016466683686494766
