"행정구역","2023년02월_거주자 인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율"
"서울특별시 강서구 (1150000000)","0","0","          0.00","0","0","          0.00"
"서울특별시 강서구 염창동(1150051000)","41,225","16,367","          2.52","19,815","21,410","          0.93"
"서울특별시 강서구 등촌제1동(1150052000)","24,628","13,991","          1.76","11,349","13,279","          0.85"
"서울특별시 강서구 등촌제2동(1150053000)","19,555","8,504","          2.30","9,491","10,064","          0.94"
"서울특별시 강서구 등촌제3동(1150053500)","29,506","14,948","          1.97","13,946","15,560","          0.90"
"서울특별시 강서구 화곡제1동(1150054000)","51,414","28,152","          1.83","24,954","26,460","          0.94"
"서울특별시 강서구 화곡제2동(1150055000)","17,379","8,191","          2.12","8,399","8,980","          0.94"
"서울특별시 강서구 화곡제3동(1150056000)","21,282","9,668","          2.20","10,115","11,167","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","19,995","9,604","          2.08","9,795","10,200","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","33,430","17,309","          1.93","16,152","17,278","          0.93"
"서울특별시 강서구 화곡제6동(1150059100)","24,822","13,043","          1.90","11,888","12,934","          0.92"
"서울특별시 강서구 화곡제8동(1150059300)","23,829","11,751","          2.03","11,487","12,342","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","33,908","20,724","          1.64","15,377","18,531","          0.83"
"서울특별시 강서구 가양제2동(1150060400)","13,668","8,011","          1.71","6,447","7,221","          0.89"
"서울특별시 강서구 가양제3동(1150060500)","14,439","7,734","          1.87","6,701","7,738","          0.87"
"서울특별시 강서구 발산제1동(1150061100)","35,765","13,366","          2.68","16,846","18,919","          0.89"
"서울특별시 강서구 우장산동(1150061500)","43,164","16,388","          2.63","20,620","22,544","          0.91"
"서울특별시 강서구 공항동(1150062000)","30,051","13,795","          2.18","15,158","14,893","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","42,353","17,227","          2.46","20,632","21,721","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","22,907","12,014","          1.91","11,310","11,597","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","22,213","11,164","          1.99","10,703","11,510","          0.93"
