,거주자 인구수,남자 인구수,여자 인구수,행정동
0,41225,19815,21410,염창동
1,24628,11349,13279,등촌1동
2,19555,9491,10064,등촌2동
3,29506,13946,15560,등촌3동
4,51414,24954,26460,화곡1동
5,17379,8399,8980,화곡2동
6,21282,10115,11167,화곡3동
7,19995,9795,10200,화곡4동
8,33430,16152,17278,화곡본동
9,24822,11888,12934,화곡6동
10,23829,11487,12342,화곡8동
11,33908,15377,18531,가양1동
12,13668,6447,7221,가양2동
13,14439,6701,7738,가양3동
14,35765,16846,18919,발산1동
15,43164,20620,22544,우장산동
16,30051,15158,14893,공항동
17,42353,20632,21721,방화1동
18,22907,11310,11597,방화2동
19,22213,10703,11510,방화3동
